"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"113384206;113383725;113384221;113384221;113384221;113383725;113384221;113383735;113384221;113384221;113384221;113384221;113384221;113384221;113384221;113384221;113384221;113384216;113384206;113384206;113383952;113383740;113383725;113383725;113383725;113383724;113383724;113383724;113383724;113383724;113383724;113383723;113384221;113384221;113384221;113384221;113383725;113383725;113383724;113384221;113384221;113384221;113384206;113383732;113383725;113383724;113383724;113383724;113384221;113383725",1186.46143947597,13.6964351202533,1.62425078259872,8.43246330368994,3.38463946824149e-17,6.28561395647127e-13
"RPS29",10298.0779192364,1.18603320127286,0.195659363672377,6.06172471898059,1.34669563457055e-09,1.25047423148048e-05
"IFI6",269.135902736765,0.958175865127316,0.205975796477842,4.65188571430233,3.28913360477155e-06,0.0156653920138846
"COX14",683.072944582575,0.752227766035903,0.161887049479846,4.6466210141754,3.37416229904358e-06,0.0156653920138846
"UCP2",2248.23355327488,0.622462448462244,0.136365166860017,4.56467338980505,5.00272580015974e-06,0.0185811241669533
"MICOS10",1685.77267491919,0.729881326649087,0.162048546098121,4.50409055942495,6.6657779011307e-06,0.020631693566983
"SEC61G",2490.45087218713,0.601404500905915,0.137895365467309,4.36131046803375,1.29285760541586e-05,0.0342995122716829
"FAU",9259.66803097577,0.659853069339496,0.154829808437039,4.26179607144461,2.02790457317119e-05,0.0470752697854528
"ROMO1",1976.91627263156,0.796395783504416,0.189187767070424,4.20955221279165,2.55877307590051e-05,0.0527988608806094
"SPAG4",132.003607160092,1.01473359822474,0.246616646260103,4.11461924250855,3.8781904011866e-05,0.0720218739404363
"COMMD6",2112.12946601869,0.532645118150023,0.131578969148555,4.04810222786179,5.16345947824313e-05,0.0871732781549574
"HILPDA",1468.73743905834,0.700719374418098,0.180725282058703,3.87726258571002,0.000105638327491924,0.161218449550741
"ADAM21",15.3040770516406,2.80905104511246,0.733913784897715,3.82749459530039,0.000129454225728126,0.161218449550741
"SNHG19",445.731391199005,0.972420184536898,0.252908979650855,3.84494131398316,0.000120581293014146,0.161218449550741
"APOC1",425.346650476086,0.760833189399518,0.198856251760395,3.82604611453834,0.000130217906588827,0.161218449550741
"NDRG1",6789.05325278167,0.492066387241857,0.129523618694168,3.79904755752484,0.000145253220673386,0.163447069115934
"FAM241B",401.4322955407,0.630848251118765,0.166376156277418,3.79169867385853,0.000149620385276554,0.163447069115934
"UGT3A2",142.559123964268,0.879771365079083,0.234874452146833,3.74570906728115,0.000179884965915086,0.183052344088764
"LINC02749",15.7997699510495,2.91434934462153,0.780159217164515,3.73558278938717,0.000187280950820447,0.183052344088764
"RPL39",9775.28340154706,0.598192918483056,0.161531920412956,3.70324897366278,0.000212855796125045,0.197647249491911
